2026-01-20 19:56:52.144; INFO; ScenarioProfile; 24820; 27760] (SystemVolumeHelper)OnNotify: OnNotify : volume: 20, isMute: False
2026-01-20 19:56:52.144; INFO; ScenarioProfile; 24820; 27760] (SystemVolumeHelper)OnNotify: OnNotify : Call SystemFunctionModeChange Statrt
2026-01-20 19:56:52.144; VERBOSE; ScenarioProfile; 24820; 27760] ScenarioProfile::SystemFunctionModeChange End
2026-01-20 19:56:52.145; INFO; ScenarioProfile; 24820; 27760] (ScenarioProfile)SystemFunctionModeChange: System_Volume mode change : 20
2026-01-20 19:56:52.145; INFO; ScenarioProfile; 24820; 27760] (ScenarioProfile)SystemFunctionModeChange: System_Volume_isMute mode change : False
2026-01-20 19:56:52.145; VERBOSE; ScenarioProfile; 24820; 27760] (ProfileHelper)SetCache: Enter
2026-01-20 19:56:52.145; VERBOSE; ScenarioProfile; 24820; 27760] (ProfileHelper)SetCache: wait lock_guard
2026-01-20 19:56:52.145; VERBOSE; ScenarioProfile; 24820; 27760] (ProfileHelper)SetCache: pass lock_guard
2026-01-20 19:56:52.145; VERBOSE; ScenarioProfile; 24820; 27760] (JsonHelper)LoadJsonFile: Enter
2026-01-20 19:56:52.145; VERBOSE; ScenarioProfile; 24820; 27760] (JsonHelper)LoadJsonFile: Finish
2026-01-20 19:56:52.145; VERBOSE; ScenarioProfile; 24820; 27760] (ProfileHelper)SetCache: AppTag :System_Volume, AppType :System_Function, AppUID :System_Volume, Mode :20, ModeKey :20,
2026-01-20 19:56:52.145; VERBOSE; ScenarioProfile; 24820; 27760] (ProfileHelper)SetCache: AppTag :System_Volume_isMute, AppType :System_Function, AppUID :System_Volume_isMute, Mode :False, ModeKey :False,
2026-01-20 19:56:52.145; VERBOSE; ScenarioProfile; 24820; 27760] (JsonHelper)SaveJsonFile: Enter
2026-01-20 19:56:52.149; VERBOSE; ScenarioProfile; 24820; 27760] (JsonHelper)SaveJsonFile: Finish
2026-01-20 19:56:52.149; VERBOSE; ScenarioProfile; 24820; 27760] (ProfileHelper)SetCache: Finish
2026-01-20 19:56:52.149; VERBOSE; ScenarioProfile; 24820; 27760] (JsonHelper)LoadJsonFile: Enter
2026-01-20 19:56:52.149; VERBOSE; ScenarioProfile; 24820; 27760] (JsonHelper)LoadJsonFile: Finish
2026-01-20 19:56:52.149; VERBOSE; ScenarioProfile; 24820; 27760] (ScenarioProfile)SystemFunctionModeChange: Active profile : , file name : 
