2026-01-16 20:02:43.540; VERBOSE; GPUMode; 5788; 15656] [WindowProc] WM_TIMER
2026-01-16 20:02:43.540; VERBOSE; GPUMode; 5788; 15656] [WindowProc] wParam = m_uTimerCheckGraphic
2026-01-16 20:02:43.540; VERBOSE; GPUMode; 5788; 15656] [CheckShowGPUToast] Begin
2026-01-16 20:02:43.540; VERBOSE; GPUMode; 5788; 15656] [IsACMode] Begin
2026-01-16 20:02:43.540; VERBOSE; GPUMode; 5788; 15656] [UpdatePDStatus] Begin
2026-01-16 20:02:43.541; VERBOSE; GPUMode; 5788; 15656] [UpdatePDStatus] End, true
2026-01-16 20:02:43.541; VERBOSE; GPUMode; 5788; 15656] [IsACMode] End, False, m_currentPDStatus = 0
2026-01-16 20:02:43.541; VERBOSE; GPUMode; 5788; 15656] [CheckDisplayConnectStatus] Begin
2026-01-16 20:02:43.543; VERBOSE; GPUMode; 5788; 15656] [CheckDisplayConnectStatus] ATKCOMMAND_DISPLAY_CONNECT_STATUS Return : 10050
2026-01-16 20:02:43.543; VERBOSE; GPUMode; 5788; 15656] [CheckDisplayConnectStatus] HDMI1 on DGPU
2026-01-16 20:02:43.543; VERBOSE; GPUMode; 5788; 15656] [CheckDisplayConnectStatus] DP1 on DGPU
2026-01-16 20:02:43.543; VERBOSE; GPUMode; 5788; 15656] [CheckDisplayConnectStatus] End
2026-01-16 20:02:43.543; VERBOSE; GPUMode; 5788; 15656] [CheckDisplayConnectStatus] lastStatus: 0, pDisplayConnectStatus: 0
2026-01-16 20:02:43.543; VERBOSE; GPUMode; 5788; 15656] [CheckDisplayConnectStatus] End
2026-01-16 20:02:43.544; VERBOSE; GPUMode; 5788; 15656] [CheckShowGPUToast] PowerStatus = 1
2026-01-16 20:02:43.544; VERBOSE; GPUMode; 5788; 15656] [CheckShowGPUToast] m_CurrentDisplayConnectStatus = 0
2026-01-16 20:02:43.544; VERBOSE; GPUMode; 5788; 15656] [CheckShowGPUToast] show = 1
2026-01-16 20:02:43.544; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Begin
2026-01-16 20:02:43.663; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.663; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.666; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.666; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.667; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.667; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.669; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.669; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.670; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.670; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.671; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.671; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.879; VERBOSE; ACLocalStateWatcher; 5788; 20344] Receive file change, bytesRead:92
2026-01-16 20:02:43.879; VERBOSE; ACLocalStateWatcher; 5788; 20344] filename:ArmouryCrate_20260115.BackgroundTask.log\, index:-1
2026-01-16 20:02:43.963; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.964; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.964; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.964; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.964; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.964; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.964; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.964; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.964; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.964; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.964; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.964; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.997; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.997; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.997; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.997; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.997; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.997; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.998; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.999; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.999; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:43.999; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.999; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:43.999; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:44.197; INFO; SystemFeature; 5788; 29820] [ModernStandby] canHibernate : 0, m_isEnabled = 1, m_isDCMode = 1, m_isUnderHibernateCoolDown = 1, fastStartupUpTimeSec = 171108, resumeCDSec = 81234, m_isScreenOff = 1, m_isSuspend = 0
2026-01-16 20:02:44.197; INFO; SystemFeature; 5788; 29820] [ModernStandby] canHibernate : 0, {104}
2026-01-16 20:02:44.508; VERBOSE; AuraPlugin; 5788; 16204] [AuraListener] *** WM_POWERBROADCAST, wParam=0x8013 ***
2026-01-16 20:02:44.508; VERBOSE; AuraPlugin; 5788; 8556] AuraPlugin::OnPowerChange Begin
2026-01-16 20:02:44.508; VERBOSE; AuraPlugin; 5788; 16204] [AuraListener] *** PBT_POWERSETTINGCHANGE (wParam = 0x8013) ***
2026-01-16 20:02:44.508; WARNING; AuraPlugin; 5788; 16204] [AuraListener] <BATTERY_PERCENTAGE_REMAINING>
2026-01-16 20:02:44.508; VERBOSE; AuraPlugin; 5788; 8556] AuraPlugin::OnPowerChange End
2026-01-16 20:02:44.508; INFO; TBGraphicControl; 5788; 18548] OnPowerChange start
2026-01-16 20:02:44.508; VERBOSE; UpdateCenter; 5788; 5456] UpdateCenter::OnPowerChange Begin
2026-01-16 20:02:44.508; VERBOSE; UpdateCenter; 5788; 5456] UpdateCenter::OnPowerChange End
2026-01-16 20:02:44.508; VERBOSE; GPUMode; 5788; 6300] [OnPowerChange] Begin, 32787, 1974944464
2026-01-16 20:02:44.508; VERBOSE; DevicePlugin; 5788; 6972] DevicePlugin::OnPowerChange Begin
2026-01-16 20:02:44.508; VERBOSE; GPUMode; 5788; 6300] [OnPowerChange] GUID_BATTERY_PERCENTAGE_REMAINING
2026-01-16 20:02:44.508; VERBOSE; DevicePlugin; 5788; 6972] DevicePlugin::OnPowerChange End
2026-01-16 20:02:44.508; VERBOSE; GPUMode; 5788; 6300] [OnPowerChange] m_BatteryLifePercent = 14
2026-01-16 20:02:44.508; VERBOSE; GPUMode; 5788; 6300] [OnPowerChange] m_bBatteryAbove50 = 1
2026-01-16 20:02:44.508; VERBOSE; GPUMode; 5788; 6300] [OnPowerChange] m_showToastCount = 0
2026-01-16 20:02:44.508; VERBOSE; GPUMode; 5788; 6300] [OnPowerChange] End
2026-01-16 20:02:44.508; INFO; StreamPlugin; 5788; 18548] StreamPlugin::ConnectionHandler::SendCommand, added sender, SN: 9, completed event: 0000000000001B44
2026-01-16 20:02:44.508; VERBOSE; StreamPlugin; 5788; 18548] StreamPlugin::ConnectionHandler::SendCommand, ready to send command packect, SN: 9
2026-01-16 20:02:44.508; VERBOSE; StreamPlugin; 5788; 18548] StreamPlugin::ConnectionHandler::SendCommand, send command packet, SN: 9
2026-01-16 20:02:44.509; VERBOSE; StreamPlugin; 5788; 32036] StreamPlugin::ConnectionHandler::ConnectionThread, sender event completed, SN: 9, completed event: 000000DE385FE600
2026-01-16 20:02:44.509; INFO; StreamPlugin; 5788; 18548] StreamPlugin::ConnectionHandler::SendCommand, removed sender, SN: 9, completed event: 0000000000001B44
2026-01-16 20:02:44.509; INFO; TBGraphicControl; 5788; 18548] OnPowerChange end result = 1, {
  Cmd:HandelPowerChanged,
  OnPowerChangedFromTB:32787,
}
2026-01-16 20:02:44.706; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:44.706; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:44.709; VERBOSE; GPUMode; 5788; 6300] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-16 20:02:44.713; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:44.713; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:44.713; VERBOSE; GameLibraryPlugin; 5788; 31644] Device plugin
2026-01-16 20:02:44.967; VERBOSE; GPUMode; 5788; 15656] [CheckGraphicCard] m_bFindIntel_iGPU=0 , m_bFindNV=1 , m_bFindAMD_iGPU=0 , m_bFindRadeon=0 , m_bFindIntelARC=0 , m_nDiscreteCardTtl=1
2026-01-16 20:02:44.967; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Supported Nvidia library.
2026-01-16 20:02:44.971; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Start, total processes reported by NVAPI = 26
2026-01-16 20:02:44.991; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] After query, valid process count = 26
2026-01-16 20:02:44.991; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[0]: copilot.exe (PID=8912)
2026-01-16 20:02:44.991; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[0]: copilot.exe (PID=8912)
2026-01-16 20:02:44.991; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[1]: m365copilot.exe (PID=18676)
2026-01-16 20:02:44.991; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[1]: m365copilot.exe (PID=18676)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[2]: msedgewebview2.exe (PID=20380)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[2]: msedgewebview2.exe (PID=20380)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[3]: code.exe (PID=12140)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[3]: code.exe (PID=12140)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[4]: chrome.exe (PID=10732)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[4]: chrome.exe (PID=10732)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[5]: iolotrayapp.exe (PID=29856)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[5]: iolotrayapp.exe (PID=29856)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[6]: logonui.exe (PID=14788)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[6]: logonui.exe (PID=14788)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[7]: systemsettings.exe (PID=23844)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[7]: systemsettings.exe (PID=23844)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[8]: phoneexperiencehost.exe (PID=9848)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[8]: phoneexperiencehost.exe (PID=9848)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[9]: chrome.exe (PID=13944)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[9]: chrome.exe (PID=13944)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[10]: dwm.exe (PID=22464)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[11]: shellhost.exe (PID=30024)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[11]: shellhost.exe (PID=30024)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[12]: crossdeviceresume.exe (PID=9632)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[12]: crossdeviceresume.exe (PID=9632)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[13]: explorer.exe (PID=17940)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[14]: searchhost.exe (PID=25184)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[14]: searchhost.exe (PID=25184)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[15]: startmenuexperiencehost.exe (PID=26368)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[15]: startmenuexperiencehost.exe (PID=26368)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[16]: msedgewebview2.exe (PID=32572)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[16]: msedgewebview2.exe (PID=32572)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[17]: armourycrate.exe (PID=27928)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[18]: shellexperiencehost.exe (PID=15208)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[18]: shellexperiencehost.exe (PID=15208)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Checking process[19]: onedrive.exe (PID=26372)
2026-01-16 20:02:44.992; VERBOSE; GPUMode; 5788; 15656] [EnumGPUProcess] Added process[19]: onedrive.exe (PID=26372)
