2026-01-13 20:46:56.022; VERBOSE; GPUMode; 3764; 21704] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-13 20:46:56.150; INFO; DenoiseAIPlugin; 3764; 13224] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.150; WARNING; DenoiseAIPlugin; 3764; 13224] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.196; INFO; DenoiseAIPlugin; 3764; 13224] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.196; WARNING; DenoiseAIPlugin; 3764; 13224] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.295; INFO; DenoiseAIPlugin; 3764; 18020] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.295; WARNING; DenoiseAIPlugin; 3764; 18020] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.328; INFO; DenoiseAIPlugin; 3764; 18020] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.328; WARNING; DenoiseAIPlugin; 3764; 18020] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.413; INFO; DenoiseAIPlugin; 3764; 33284] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.413; WARNING; DenoiseAIPlugin; 3764; 33284] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.443; INFO; DenoiseAIPlugin; 3764; 13224] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:56.443; WARNING; DenoiseAIPlugin; 3764; 13224] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:56.457; VERBOSE; GameLibraryPlugin; 3764; 32228] Device plugin
2026-01-13 20:46:56.457; VERBOSE; GPUMode; 3764; 21704] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-13 20:46:56.460; VERBOSE; GameLibraryPlugin; 3764; 32228] Device plugin
2026-01-13 20:46:56.460; VERBOSE; GPUMode; 3764; 21704] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-13 20:46:56.460; VERBOSE; GPUMode; 3764; 21704] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-13 20:46:56.460; VERBOSE; GameLibraryPlugin; 3764; 32228] Device plugin
2026-01-13 20:46:56.514; VERBOSE; AuraPlugin; 3764; 12856] [AuraListener] *** WM_POWERBROADCAST, wParam=0x8013 ***
2026-01-13 20:46:56.514; VERBOSE; AuraPlugin; 3764; 12856] [AuraListener] *** PBT_POWERSETTINGCHANGE (wParam = 0x8013) ***
2026-01-13 20:46:56.514; VERBOSE; DevicePlugin; 3764; 16080] DevicePlugin::OnPowerChange Begin
2026-01-13 20:46:56.514; VERBOSE; DevicePlugin; 3764; 16080] DevicePlugin::OnPowerChange End
2026-01-13 20:46:56.514; WARNING; AuraPlugin; 3764; 12856] [AuraListener] <BATTERY_PERCENTAGE_REMAINING>
2026-01-13 20:46:56.514; VERBOSE; UpdateCenter; 3764; 20384] UpdateCenter::OnPowerChange Begin
2026-01-13 20:46:56.514; VERBOSE; UpdateCenter; 3764; 20384] UpdateCenter::OnPowerChange End
2026-01-13 20:46:56.514; INFO; TBGraphicControl; 3764; 31004] OnPowerChange start
2026-01-13 20:46:56.514; VERBOSE; GPUMode; 3764; 21704] [OnPowerChange] Begin, 32787, 1875255408
2026-01-13 20:46:56.514; VERBOSE; GPUMode; 3764; 21704] [OnPowerChange] GUID_BATTERY_PERCENTAGE_REMAINING
2026-01-13 20:46:56.514; VERBOSE; GPUMode; 3764; 21704] [OnPowerChange] m_BatteryLifePercent = 34
