2026-01-17 00:01:10.083; VERBOSE; StreamPlugin; 16480; 33384] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 15
2026-01-17 00:01:10.084; VERBOSE; StreamPlugin; 16480; 6348] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 15
2026-01-17 00:01:14.795; VERBOSE; StreamPlugin; 16480; 21492] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 14
2026-01-17 00:01:14.817; VERBOSE; StreamPlugin; 16480; 17260] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 14
2026-01-17 00:01:15.888; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:01:15.888; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:01:26.955; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:01:26.955; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:01:30.089; VERBOSE; StreamPlugin; 16480; 33384] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 16
2026-01-17 00:01:30.089; VERBOSE; StreamPlugin; 16480; 6348] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 16
2026-01-17 00:01:34.805; VERBOSE; StreamPlugin; 16480; 21492] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 15
2026-01-17 00:01:34.828; VERBOSE; StreamPlugin; 16480; 17260] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 15
2026-01-17 00:01:35.859; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:01:35.859; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:01:46.958; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:01:46.958; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:01:50.092; VERBOSE; StreamPlugin; 16480; 6348] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 17
2026-01-17 00:01:50.092; VERBOSE; StreamPlugin; 16480; 33384] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 17
2026-01-17 00:01:54.826; VERBOSE; StreamPlugin; 16480; 21492] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 16
2026-01-17 00:01:54.836; VERBOSE; StreamPlugin; 16480; 17260] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 16
2026-01-17 00:01:55.845; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:01:55.845; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:02:03.224; INFO; TBGraphicControl; 16480; 692] OnPowerChange start
2026-01-17 00:02:03.224; VERBOSE; AuraPlugin; 16480; 24080] AuraPlugin::OnPowerChange Begin
2026-01-17 00:02:03.224; VERBOSE; AuraPlugin; 16480; 24080] AuraPlugin::OnPowerChange End
2026-01-17 00:02:03.224; VERBOSE; GPUMode; 16480; 32452] [OnPowerChange] Begin, 32787, -43510752
2026-01-17 00:02:03.224; VERBOSE; GPUMode; 16480; 32452] [OnPowerChange] GUID_BATTERY_PERCENTAGE_REMAINING
2026-01-17 00:02:03.224; VERBOSE; UpdateCenter; 16480; 30464] UpdateCenter::OnPowerChange Begin
2026-01-17 00:02:03.224; VERBOSE; GPUMode; 16480; 32452] [OnPowerChange] m_BatteryLifePercent = 56
